4334
2099	3833	17
4056	438	44
4163	3092	35
2096	1631	35
3635	2329	2
2350	483	31
1910	3351	35
4142	37	29
1411	533	3
4255	823	35
1910	2155	35
2961	652	3
4116	2490	35
2029	516	35
542	3530	35
2471	247	3
1232	3865	35
4427	177	3
696	702	3
2961	3833	15
1752	4233	3
1730	1730	33
3587	795	35
1187	4156	35
2955	2664	3
464	3014	16
1302	438	44
772	1373	35
2839	2091	35
987	3833	15
2105	3833	17
1240	1833	35
1240	505	35
3031	1760	35
1201	3833	17
983	599	35
2632	3477	35
4302	3833	17
1200	1462	35
1547	3379	35
4369	66	15
99	1013	35
3561	2872	2
1708	2717	3
2316	182	23
3615	2024	33
1811	4209	35
1240	272	35
616	321	3
3771	517	35
3967	3857	35
4174	2498	35
1093	3833	17
3763	3441	35
1965	3833	29
378	4391	31
3144	3740	23
2587	3833	0
378	2473	35
1526	4056	2
2638	3682	33
4384	3833	17
1967	393	35
1547	642	35
3564	273	23
905	438	44
3797	4053	41
1440	1945	35
2418	1522	3
14	3027	35
2879	2366	35
1187	171	29
4056	4452	3
207	2687	31
3255	2635	29
2754	1681	11
853	1879	3
1670	4014	43
4427	1035	3
1827	3833	0
1277	1764	3
486	3467	41
4196	1815	35
813	3468	16
3137	3014	16
740	2530	6
4302	3339	35
